,visit_id,detector_id,band,day_obs,x,y,fwhm,dg_chi2,gh_chi2,moffat_chi2,shapelet_chi2,dg_a1,dg_sigma1,dg_a2,dg_sigma2,gh_A,gh_x0,gh_y0,gh_sigma_x,gh_sigma_y,gh_h3x,gh_h4x,gh_h3y,gh_h4y,gh_B,moffat_A,moffat_x0,moffat_y0,moffat_alpha,moffat_beta,moffat_B,sh_c0_0,sh_c0_1,sh_c0_2,sh_c0_3,sh_c0_4,sh_c0_5,sh_c0_6,sh_c1_0,sh_c1_1,sh_c1_2,sh_c1_3,sh_c1_4,sh_c1_5,sh_c2_0,sh_c2_1,sh_c2_2,sh_c2_3,sh_c2_4,sh_c3_0,sh_c3_1,sh_c3_2,sh_c3_3,sh_c4_0,sh_c4_1,sh_c4_2,sh_c5_0,sh_c5_1,sh_c6_0
0,2024110800259,0,r,20241108,3416.827,31.296,4.904,1.69e-06,1.09e-06,1.26e-06,3.7e-07,0.027939,1.7556,0.006641,3.2681,0.033603,11.791,12.304,2.1163,1.9341,0.009145,0.001523,0.009504,0.001055,0.00017455,0.035839,11.75,12.281,4.813,3.6546,3.246e-05,0.120464,0.014123,-0.000433,0.00693,0.00551,-0.003374,0.000299,-0.009327,0.006736,0.013736,0.006682,-0.00302,-0.003651,0.006754,0.008119,0.006138,-0.000748,0.002059,0.007617,0.000369,-0.003322,-0.000252,0.003454,-0.00258,0.001363,-0.002621,0.000259,0.000888
1,2024110800259,0,r,20241108,3124.086,2096.13,4.8612,1.19e-06,9.5e-07,1.16e-06,3.8e-07,0.026962,1.5975,0.009464,3.0838,0.033696,12.073,12.123,2.1036,1.9498,0.013374,0.002038,0.006453,0.001715,0.00014804,0.036601,12.026,12.102,4.1546,2.9096,-4.844e-05,0.121692,0.005428,-0.001769,0.004637,0.005491,-0.001912,0.001683,0.002744,0.007947,0.011495,0.003859,-0.001852,-0.000626,0.00579,0.006468,0.007892,0.000283,0.001769,0.011697,0.000846,-0.000617,0.00068,0.006704,-0.001539,4.1e-05,-0.004086,0.001192,0.000512
2,2024110800259,0,r,20241108,650.651,98.758,5.105,1.95e-06,1.45e-06,1.64e-06,7.4e-07,0.02925,2.1555,0.001139,4.8601,0.031264,11.672,11.785,2.2445,2.0601,0.011265,0.001635,0.003506,0.000332,0.00011242,0.032412,11.652,11.769,6.7044,5.6731,3.37e-05,0.118332,-0.008462,0.00479,0.002599,0.000294,0.001742,0.005434,-0.012169,0.01175,0.008423,-0.000634,-0.001924,-0.001361,0.014449,0.010354,-0.000778,-0.001208,0.003324,0.00825,-0.004412,-2e-06,0.001831,0.002145,-0.002442,0.002962,-0.002158,0.003614,0.002948
3,2024110800259,0,r,20241108,2847.118,1560.153,4.9056,2.48e-06,2.2e-06,2.46e-06,1.59e-06,0.028053,1.43,0.01015,3.1048,0.034386,12.016,12.086,1.9901,1.8412,0.017428,0.003173,0.007669,0.002871,0.00024153,0.039164,11.945,12.042,2.9854,1.9902,-9.076e-05,0.118164,0.00452,-0.004121,0.004561,0.008525,-0.003857,-0.000637,0.001871,0.007756,0.010214,0.005862,-0.002938,-0.001256,0.003223,0.005434,0.009958,0.000215,0.002481,0.013835,0.004854,-3.5e-05,0.001371,0.008475,-0.000781,0.000132,-0.003572,0.000353,-0.001047
4,2024110800259,0,r,20241108,1003.391,3816.414,4.8852,4.26e-06,3.12e-06,3.71e-06,2.48e-06,0.025754,1.252,0.01417,2.8625,0.034923,12.273,12.384,1.9818,1.8823,0.022135,0.004479,0.006127,-0.000222,0.00022344,0.036886,12.28,12.372,3.8717,2.6427,-6.873e-05,0.118998,0.017687,-0.003454,0.002821,0.003619,-0.002829,0.003218,0.013529,0.004629,0.007604,0.00395,-0.000627,-0.003139,0.004414,0.007253,0.009137,0.000313,0.002052,0.016155,0.004373,0.000967,0.000467,0.01616,-0.004015,-0.00091,-0.001351,-0.00242,-0.006034
5,2024110800248,0,i,20241108,2938.221,1518.297,4.2679,2.36e-06,1.83e-06,1.9e-06,1.34e-06,0.033469,1.3036,0.01446,2.5834,0.043479,12.201,12.276,1.8279,1.7007,0.006191,0.000954,0.005638,0.003234,0.00017291,0.047443,12.165,12.259,3.6909,3.0572,2.703e-05,0.134877,0.015931,-0.011561,0.000847,0.010655,0.002452,-0.00217,0.011615,0.00414,0.008576,0.006271,0.000837,-0.000161,-0.006209,0.005274,0.01112,0.00219,-0.001817,0.002769,0.001243,-0.002719,-0.000892,0.00517,-4.1e-05,-0.001352,-0.005032,0.00037,-0.000635
6,2024110800248,0,i,20241108,982.634,2346.1,4.481,2.29e-06,1.57e-06,1.8e-06,1.27e-06,0.033997,1.8913,0.001121,5.9956,0.036228,11.624,12.098,1.9484,1.8003,0.011862,0.00047,0.006689,0.002878,0.00027115,0.038566,11.585,12.086,4.4722,3.6805,0.00015631,0.120942,0.005233,-0.005143,0.004928,0.008516,-0.000356,0.000416,-0.014367,0.000741,0.010072,0.002879,-0.004663,0.000432,0.004345,0.004115,0.003308,0.000433,0.002543,0.008623,0.000479,-0.004311,-0.001587,-0.002168,-0.000595,-0.000342,-0.005722,-7.1e-05,0.004281
7,2024110800248,0,i,20241108,2546.819,267.875,4.3513,1.91e-06,1.59e-06,1.71e-06,1.25e-06,0.037866,1.7511,0.002649,4.0191,0.0401,11.822,11.876,1.902,1.7877,0.006217,0.00129,0.006544,0.002684,0.00016394,0.042837,11.795,11.867,4.5136,3.8775,7.748e-05,0.131545,-0.004707,-0.006804,0.007198,0.007767,-0.00149,0.000994,-0.007006,0.007146,0.009068,0.000566,-0.002491,0.001933,-0.002101,0.004657,0.00208,0.001202,0.002197,0.005389,-0.003706,-0.005365,0.000664,0.002928,-0.002356,-0.00011,-0.004,0.001093,0.002675
8,2024110800248,0,i,20241108,313.777,1759.644,4.6167,4.26e-06,3.33e-06,3.62e-06,3.03e-06,0.035853,1.9362,0.001072,5.1009,0.038424,11.777,11.638,1.9685,1.8521,0.012592,-0.000577,0.002677,0.003094,0.00014912,0.040202,11.744,11.627,5.3078,4.6806,5.417e-05,0.129563,-0.016807,-0.002149,0.005087,0.006912,-0.004209,0.001853,-0.008951,0.00489,0.006467,0.000187,-0.003997,-0.000229,0.003198,0.004362,0.000287,-0.002801,0.001582,0.010168,-0.002489,-0.006526,-0.000932,-0.003614,-0.003111,0.003805,-0.00351,0.001532,0.002871
9,2024110800248,0,i,20241108,2030.121,1755.413,4.3743,1.73e-06,9.1e-07,1.07e-06,6.2e-07,0.034647,1.5319,0.007205,3.1755,0.040004,12.095,12.399,1.8628,1.7489,0.011202,0.000899,0.004847,0.002784,0.00023189,0.043086,12.056,12.391,3.9289,3.1918,8.013e-05,0.12744,0.020619,-0.007203,-0.000712,0.009127,0.00236,-0.000721,0.005822,0.003576,0.007316,0.004538,0.001445,-0.001693,-0.003736,0.001877,0.007819,0.002717,0.001119,0.007904,0.002203,-0.002682,-0.000943,0.004765,-0.000754,0.000259,-0.006328,-0.000835,0.000123
