,visit_id,detector_id,band,day_obs,x,y,fwhm,dg_chi2,gh_chi2,moffat_chi2,shapelet_chi2,dg_a1,dg_sigma1,dg_a2,dg_sigma2,gh_A,gh_x0,gh_y0,gh_sigma_x,gh_sigma_y,gh_h3x,gh_h4x,gh_h3y,gh_h4y,gh_B,moffat_A,moffat_x0,moffat_y0,moffat_alpha,moffat_beta,moffat_B,sh_c0_0,sh_c0_1,sh_c0_2,sh_c0_3,sh_c0_4,sh_c0_5,sh_c0_6,sh_c1_0,sh_c1_1,sh_c1_2,sh_c1_3,sh_c1_4,sh_c1_5,sh_c2_0,sh_c2_1,sh_c2_2,sh_c2_3,sh_c2_4,sh_c3_0,sh_c3_1,sh_c3_2,sh_c3_3,sh_c4_0,sh_c4_1,sh_c4_2,sh_c5_0,sh_c5_1,sh_c6_0
0,2026040600118,4,i,20260406,3376.219,49.316,6.5263,1.1e-07,6e-08,7e-08,5e-08,0.016871,2.4616,0.002688,4.4465,0.018908,20.197,20.301,2.7978,2.6987,0.005279,0.000918,0.001774,0.001426,4.628e-05,0.019671,20.184,20.298,8.9731,6.2444,3.049e-05,0.091983,0.007191,0.002377,0.001127,0.003314,-0.00103,0.000268,0.004155,0.001909,0.003234,0.000176,-0.000952,-0.000193,0.004322,0.001954,0.002462,-0.000846,0.000587,0.003738,-1.2e-05,-0.000581,-0.000719,0.002553,-0.000944,0.000443,-0.000677,-0.00081,0.001122
1,2026040600118,4,i,20260406,1394.356,213.163,6.5604,8e-08,3e-08,4e-08,1e-08,0.01742,2.4908,0.002329,4.5153,0.019168,20.336,20.153,2.7149,2.7662,0.004683,0.000977,0.001489,0.001116,4.332e-05,0.019823,20.329,20.15,9.8358,7.3648,3.179e-05,0.093,0.0033,0.003293,0.001163,0.002544,-0.000477,0.000756,0.007861,0.003803,0.003094,-0.000487,-0.000704,-2.5e-05,0.002411,0.001607,0.002054,-0.000801,0.000608,0.003124,-0.000603,-0.000932,-2.7e-05,0.002824,-0.001189,0.00077,-0.000891,-2.1e-05,0.000661
2,2026040600118,4,i,20260406,621.607,268.709,6.4865,1e-07,2e-08,2e-08,0.0,0.018367,2.6696,0.000742,6.0853,0.019213,19.596,19.701,2.7367,2.7364,0.004564,0.001084,0.001527,0.001059,4.327e-05,0.01991,19.588,19.699,9.5616,7.0296,3.071e-05,0.092646,-0.006767,0.004271,0.000739,0.001859,-0.000697,0.001381,-0.009552,0.00403,0.00153,-0.001491,-0.00025,0.000392,0.004909,-0.000508,0.001061,-0.000451,0.001278,0.002587,-0.001276,-0.000419,0.000316,0.001285,-0.000462,0.001431,-0.000839,0.000311,0.001783
3,2026040600118,4,i,20260406,2278.485,380.572,6.6114,1.7e-07,3e-08,4e-08,1e-08,0.01756,2.7089,0.000833,5.9615,0.018524,20.472,19.572,2.76,2.8367,0.003363,0.000845,0.001929,0.000775,4.224e-05,0.01902,20.468,19.569,11.3797,9.1971,3.332e-05,0.090817,-0.010247,0.005429,0.000874,0.001283,-0.000548,0.001546,0.011286,0.002762,0.001863,-0.001262,-0.000194,2.5e-05,0.003641,0.002227,0.00111,-0.000994,0.001368,0.002346,-0.000668,-0.000721,0.000122,0.00242,-0.001185,0.001116,-0.000714,0.00021,0.000751
4,2026040600118,4,i,20260406,2073.259,423.75,6.6147,7e-08,2e-08,3e-08,0.0,0.017989,2.6774,0.000842,5.8779,0.018609,20.245,19.747,2.7568,2.8257,0.003553,0.000794,0.001658,0.000859,4.228e-05,0.019112,20.24,19.744,11.3065,9.1324,3.343e-05,0.091926,-0.006145,0.00463,0.00096,0.001628,-0.000749,0.001259,0.005886,0.003711,0.00205,-0.000902,-0.000276,0.000134,0.002957,0.00183,0.001127,-0.001015,0.001239,0.002455,-0.000739,-0.000747,-8.6e-05,0.002037,-0.000941,0.001191,-0.001147,0.000123,0.001038
5,2026040600118,13,i,20260406,887.632,155.784,6.1805,1e-07,3e-08,3e-08,1e-08,0.019595,2.5523,0.000865,5.8708,0.020422,19.622,19.779,2.6548,2.6213,0.003932,0.001224,0.001248,0.001116,4.878e-05,0.021233,19.615,19.778,8.8311,6.533,3.558e-05,0.095036,-0.005159,0.004371,0.000611,0.002167,-0.000694,0.001227,-0.009444,0.004911,0.000643,-0.001664,3.1e-05,0.000478,0.00599,-0.000768,0.001316,-0.000323,0.001269,0.002144,-0.001821,-0.000476,0.000406,0.001893,-0.000467,0.001293,-0.000812,0.000503,0.001487
6,2026040600118,13,i,20260406,2811.497,186.021,6.1418,1.3e-07,4e-08,4e-08,3e-08,0.019061,2.3788,0.002295,4.5536,0.020884,20.488,20.017,2.6021,2.6081,0.003148,0.00167,-0.000616,0.001216,4.679e-05,0.02184,20.483,20.019,8.1412,5.8162,3.321e-05,0.095809,7.8e-05,0.00385,-0.000303,0.002556,0.000168,0.001066,0.012611,0.003101,0.00125,-0.000906,0.000133,0.000328,0.004532,0.000437,0.001678,-0.000272,0.001199,0.002126,-0.001066,-0.000398,0.00026,0.004145,-0.00062,0.000966,0.000129,6.3e-05,0.000829
7,2026040600118,13,i,20260406,415.102,324.426,6.2085,1e-07,2e-08,2e-08,0.0,0.019394,2.4307,0.00189,4.7355,0.020888,20.092,20.421,2.6175,2.623,0.003861,0.001277,2.8e-05,0.001192,4.295e-05,0.021798,20.084,20.422,8.3759,6.0377,2.758e-05,0.096584,0.010905,0.004524,0.000296,0.002547,0.000252,0.00103,0.001737,0.004111,0.002628,-0.000923,-0.000543,0.000184,0.003446,0.00045,0.002167,-0.000277,0.000831,0.002856,-0.000638,-0.000766,0.000112,0.002874,-0.000341,0.000941,-0.000834,6.5e-05,0.001267
8,2026040600118,13,i,20260406,1742.771,326.565,6.1801,1.6e-07,6e-08,6e-08,4e-08,0.019191,2.4766,0.001792,4.7675,0.020782,19.767,19.562,2.6492,2.6388,0.004482,0.001384,-0.000267,0.001199,3.502e-05,0.021744,19.757,19.564,8.1939,5.7295,1.802e-05,0.096615,-0.010966,0.005201,-0.000611,0.002446,-0.000586,0.00159,-0.005751,0.004909,-0.000187,-0.001798,0.000656,0.000293,0.005103,-0.001149,0.002043,-0.000373,0.001139,0.00268,-0.002327,-0.000592,0.000619,0.002397,-6.4e-05,0.001383,-0.0004,0.000955,0.001346
9,2026040600118,13,i,20260406,3348.023,492.193,6.1598,1e-07,8e-08,8e-08,6e-08,0.019793,2.3709,0.002323,4.4451,0.021446,20.013,20.189,2.6143,2.5724,0.00408,0.001586,-0.000132,0.00133,3.695e-05,0.022468,20.004,20.19,7.8995,5.5672,2.119e-05,0.098636,0.005172,0.003073,-9e-05,0.002684,-2.3e-05,0.001377,-1.9e-05,0.003445,0.001433,-0.000747,6.8e-05,0.000426,0.004046,0.000137,0.001572,0.000128,0.001307,0.002993,-0.001073,-0.000915,0.000212,0.00346,-0.000279,0.001074,-0.000819,0.000588,0.000474
10,2026040600118,22,i,20260406,3721.619,46.127,6.3296,1.1e-07,3e-08,4e-08,2e-08,0.019453,2.4958,0.001378,5.1062,0.020697,19.606,20.131,2.5221,2.7342,0.003648,0.00181,-0.002193,0.00071,4.528e-05,0.021581,19.608,20.139,8.2647,5.8651,2.866e-05,0.095969,0.003379,0.005438,-0.00147,0.001593,0.000738,0.001626,-0.010429,-0.000451,-0.000737,-0.000803,0.000764,-8e-05,0.001312,-0.000907,0.002014,0.00032,0.000943,0.003079,-0.000842,-0.000332,0.000766,0.002702,-3.2e-05,0.001041,-0.001559,0.000428,0.001198
11,2026040600118,22,i,20260406,1558.249,215.864,6.3578,7e-08,3e-08,4e-08,2e-08,0.018704,2.5981,0.000707,6.5349,0.019106,20.243,19.863,2.6188,2.7906,0.004961,0.000924,-0.002385,0.000613,6.338e-05,0.019561,20.245,19.87,11.3577,9.738,5.52e-05,0.091649,-0.003071,0.006195,-0.001821,0.001725,0.000512,0.001559,0.006035,0.001727,-0.000379,-0.001292,0.00043,0.000158,0.002174,0.000154,0.001038,-0.00023,0.001652,0.003168,-0.001274,-0.000137,0.000468,0.002538,-0.000652,0.00122,-0.001242,0.000286,0.001033
12,2026040600118,22,i,20260406,2601.959,512.966,6.4085,2e-08,1e-08,2e-08,0.0,0.019009,2.5883,0.000956,5.6753,0.019567,19.953,19.966,2.6164,2.8228,0.003217,0.001213,-0.002479,0.000638,4.271e-05,0.02016,19.954,19.973,10.2485,8.0347,3.236e-05,0.094415,-0.000573,0.006418,-0.00183,0.001657,0.000461,0.001513,-0.00119,0.001491,-0.000774,-0.001258,0.000739,0.000158,0.001518,-0.000452,0.00126,0.000212,0.001183,0.002177,-0.00121,-0.000152,0.00047,0.002295,-0.000233,0.001199,-0.000923,0.000417,0.001272
13,2026040600118,22,i,20260406,1170.265,686.75,6.3739,8e-08,2e-08,3e-08,1e-08,0.018802,2.5462,0.001383,5.1309,0.019815,20.252,19.748,2.6199,2.8048,0.004807,0.001442,-0.001648,0.000661,3.692e-05,0.020439,20.253,19.754,9.9546,7.6588,2.644e-05,0.094881,-0.006001,0.006541,-0.001649,0.001736,0.00047,0.001712,0.006608,0.00212,-0.000605,-0.001128,0.000985,-5.2e-05,0.001865,-4.2e-05,0.001056,-0.000115,0.001376,0.002975,-0.001396,-0.000384,0.000242,0.003354,-0.000623,0.00123,-0.000655,0.000165,0.000621
14,2026040600118,22,i,20260406,1043.214,853.48,6.3738,1.3e-07,2e-08,3e-08,1e-08,0.018767,2.5783,0.001168,5.307,0.019882,20.198,20.477,2.6088,2.7886,0.005494,0.00141,-0.001895,0.000516,4.177e-05,0.020449,20.2,20.484,10.3002,8.1983,3.162e-05,0.09433,0.011369,0.007315,6e-06,0.001063,-0.000148,0.001761,0.004672,0.003517,0.000554,-0.001513,0.000164,0.000156,0.001627,-1e-05,0.001081,-0.000252,0.001358,0.003691,-0.000889,-0.000536,0.000275,0.003416,-0.000529,0.001188,-0.001191,-5.2e-05,0.000598
15,2026040600118,31,i,20260406,2082.7,108.044,6.3284,7e-08,2e-08,3e-08,1e-08,0.01886,2.5373,0.00132,5.2837,0.019942,19.684,20.039,2.7297,2.6242,0.005846,0.0014,0.000272,0.001376,4.317e-05,0.020939,19.667,20.035,7.8539,5.2184,2.271e-05,0.094456,0.001085,0.002688,0.000207,0.002697,-0.000437,0.00117,-0.008015,0.001499,0.003548,-0.00039,-0.000568,-0.000143,0.006133,0.001334,0.001764,-0.000605,0.001144,0.003665,-0.000264,-0.001154,0.000142,0.002022,-0.000703,0.00109,-0.001189,-0.000105,0.001841
16,2026040600118,31,i,20260406,1812.913,179.81,6.3473,1.2e-07,1e-07,1e-07,8e-08,0.017681,2.5058,0.002372,4.4418,0.01957,19.909,19.804,2.7872,2.677,0.005881,0.001309,-0.000249,0.001248,3.234e-05,0.020486,19.892,19.8,8.3504,5.5916,1.351e-05,0.094611,-0.00491,0.003668,-0.000108,0.002367,-0.001011,0.001151,-0.002577,0.001755,0.003688,-0.000537,-0.000746,0.000288,0.006415,0.001937,0.002119,-0.000657,0.001315,0.003988,-0.000726,-0.001064,-6.8e-05,0.00251,-0.000686,0.000927,-0.001171,0.000231,0.001558
17,2026040600118,31,i,20260406,3022.33,210.545,6.2868,1.8e-07,6e-08,7e-08,5e-08,0.018576,2.4537,0.00179,5.0046,0.020081,20.314,19.545,2.7137,2.5852,0.005562,0.001201,-0.00027,0.001524,5.109e-05,0.021008,20.298,19.543,8.073,5.5587,3.36e-05,0.093502,-0.011792,0.002778,0.000274,0.002939,-0.000597,0.001313,0.007547,0.000713,0.001967,-0.001577,-0.000188,-1.7e-05,0.005181,0.001281,0.001779,-0.000898,0.001112,0.004061,-0.000672,-0.000616,0.000548,0.003349,-0.000897,0.001051,-0.000871,-0.00059,0.001329
18,2026040600118,31,i,20260406,252.882,226.677,6.339,1.3e-07,8e-08,9e-08,6e-08,0.01886,2.481,0.001869,4.7935,0.020409,19.872,19.676,2.7334,2.5937,0.004968,0.001094,0.000951,0.001807,3.522e-05,0.021491,19.855,19.669,7.5468,4.9245,1.209e-05,0.096043,-0.00848,0.002297,0.001026,0.003225,-0.000919,0.000958,-0.003197,0.003048,0.003466,-0.001035,-0.00087,0.000252,0.00559,0.001833,0.001869,-0.001174,0.001284,0.003361,-0.000305,-0.001048,0.00019,0.00196,-0.000553,0.001507,-0.001097,9e-06,0.001622
19,2026040600118,31,i,20260406,1223.645,361.87,6.3809,1.2e-07,6e-08,6e-08,4e-08,0.018693,2.5447,0.001358,5.1839,0.019923,19.626,19.865,2.686,2.6643,0.005439,0.001485,0.000595,0.001457,4.314e-05,0.020941,19.611,19.862,7.7953,5.1602,2.33e-05,0.094204,-0.003195,0.003261,0.000407,0.002777,-0.000428,0.001457,-0.009335,0.002276,0.003153,-0.000584,-0.000462,0.000221,0.004909,0.001238,0.001414,-0.000282,0.001009,0.003504,-0.001009,-0.00121,0.000112,0.001882,-0.000638,0.001232,-0.001448,0.000257,0.001701
20,2026040600118,40,i,20260406,1610.639,103.978,5.9363,8e-08,2e-08,2e-08,1e-08,0.021107,2.392,0.001435,5.047,0.022273,19.637,19.979,2.5603,2.4927,0.004048,0.001322,-0.000789,0.001423,4.608e-05,0.023329,19.629,19.979,7.7061,5.5795,2.952e-05,0.099372,-0.000895,0.003367,-0.000544,0.003008,-3.7e-05,0.001067,-0.010167,-0.002948,0.000751,-0.000117,2.7e-05,-6.2e-05,0.006473,0.000571,0.001854,-0.000332,0.001236,0.002419,5e-06,-0.000229,-9.4e-05,0.002058,-0.00063,0.001294,-0.000865,-1.3e-05,0.001941
21,2026040600118,40,i,20260406,3184.259,152.338,5.9526,1e-07,1e-08,1e-08,0.0,0.020349,2.305,0.002415,4.457,0.02223,20.254,20.339,2.5424,2.5064,0.00374,0.001471,-0.001232,0.001427,4.701e-05,0.023364,20.245,20.341,7.4182,5.2433,2.864e-05,0.098954,0.009685,0.004186,-0.000835,0.00274,0.000618,0.001339,0.00702,-0.001571,0.001676,0.00042,-5.3e-05,-0.000157,0.00449,-0.00023,0.002502,0.000175,0.000949,0.002791,0.000218,-0.000553,-0.000366,0.003656,2.9e-05,0.00097,-0.000385,-0.000257,0.001266
22,2026040600118,40,i,20260406,913.592,264.278,5.8898,1.8e-07,6e-08,7e-08,5e-08,0.021051,2.347,0.001648,4.9807,0.022612,19.586,20.281,2.5094,2.46,0.004304,0.001706,-0.001855,0.001681,5.195e-05,0.023953,19.574,20.284,6.7369,4.5969,3.01e-05,0.098818,0.00777,0.00376,-0.00144,0.003077,0.000803,0.001585,-0.011532,-0.003099,0.001338,-1e-06,-0.000487,-0.000101,0.005859,0.000949,0.002107,8.9e-05,0.001081,0.002858,-0.00072,-0.000828,-0.000628,0.002684,-0.000744,0.001445,-0.000699,-3.7e-05,0.002091
23,2026040600118,40,i,20260406,3548.385,469.101,5.9254,9e-08,1e-08,1e-08,0.0,0.020259,2.2136,0.00335,4.0966,0.0228,20.376,20.103,2.5011,2.4855,0.003844,0.00146,-0.001351,0.001545,4.601e-05,0.024022,20.367,20.105,7.1381,5.0218,2.615e-05,0.10039,0.003237,0.00321,-0.001039,0.003228,0.000561,0.001043,0.010631,-0.001924,0.001653,0.000164,-0.000106,-0.000141,0.004046,-0.000635,0.002782,0.000162,0.000874,0.002768,-4.3e-05,-0.000449,-0.000203,0.003901,-0.000204,0.000751,-0.000313,-0.000266,0.000994
